NCM;Categoria;Descri????o;IPI;In??cio da Vig??ncia;Fim da Vig??ncia;uTrib;Descri????o da uTrib;GTIN Produ????o;GTIN Homologa????o;Observa????o
2101200;CARNES E MIUDEZAS, COMEST??VEIS;02101200 - BARRIGAS E PEITOS ?? DESOSS.SU??NOS,SALG.SECA;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2101900;CARNES E MIUDEZAS, COMEST??VEIS;02101900 - OUTS.CARNES SU??NAS,SALG.SECAS OU DEFUMS.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2102000;CARNES E MIUDEZAS, COMEST??VEIS;02102000 - CARNES BOVINAS,SALGADAS,SECAS OU DEFUMS.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109100;CARNES E MIUDEZAS, COMEST??VEIS;02109100 - CARN.MIUD,D/PRIM.SAL.SEC.DEF.FAR.D/CARN/MIUD.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109200;CARNES E MIUDEZAS, COMEST??VEIS;02109200 - CARNES E MIUD.FARINH.E P??S COMEST.D/BALEIAS,GOLF.BOTOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109300;CARNES E MIUDEZAS, COMEST??VEIS;02109300 - CARN.MIUD.D/R??PTEIS,SERP.TAR,DEF.F/CAR.MIUD.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109911;CARNES E MIUDEZAS, COMEST??VEIS;02109911 - CARNES DE AVES - DE GALOS E DE GALINHAS;0;01/07/2018;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109919;CARNES E MIUDEZAS, COMEST??VEIS;02109919 - CARNES DE AVES - OUTRAS;0;01/07/2018;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109920;CARNES E MIUDEZAS, COMEST??VEIS;02109920 - CARNES DA ESP??CIE OVINA;0;01/07/2018;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109930;CARNES E MIUDEZAS, COMEST??VEIS;02109930 - CARNES DA ESP??CIE CAVALAR;0;01/07/2018;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109940;CARNES E MIUDEZAS, COMEST??VEIS;02109940 - MIUDEZAS COMEST??VEIS;0;01/07/2018;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109990;CARNES E MIUDEZAS, COMEST??VEIS;02109990 - OUTRAS;0;01/07/2018;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2109900;CARNES E MIUDEZAS, COMEST??VEIS;02109900 - OUTS.CARNES E MIUD.COMEST.FARINH.E P??S,SALG.OU EM SALM.;0;01/01/2016;30/06/2018;KG;QUILOGRAMA;11/03/2019;01/10/2018;
3011110;PEIXES E CRUST??CEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQU??TICOS;03011110 - ARUAN?? (OSTEOGLOSSUM BICIRRHOSUM);NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;Revertido pela NT 2016.001 v1.30
3011190;PEIXES E CRUST??CEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQU??TICOS;03011190 - OUTROS PEIXES VIVOS ORNAMENTAIS DE ??GUA DOCE;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;Revertido pela NT 2016.001 v1.30
3011900;PEIXES E CRUST??CEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQU??TICOS;03011900 - PEIXES VIVOS ORNAMENTAIS DE ??GUA SALGADA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;Revertido pela NT 2016.001 v1.30
